tweet,location
"@ralittlefieldjr @shannonrwatts @NRA Okay, so the same movies/shows/video games are played in other countries that don't have prevalent mass shootings at school. What's the variable? :P","Pennsylvania, USA"
"If Parkland wasn’t enough to get Gun Control passed, where do we draw the line? This marks the 20th school shooting in the past 3 months... how many kids have to die before this is considered a problem? #GunContolNow","Fort Worth, TX"
"@ra_romero88 @bocavista2016 @realDonaldTrump As @Potus bows to the @NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of #action against gun violence. #MarchForOurLives 
.
https://t.co/6MCAPwNLr5","Los Angeles, CA"
"@ralittlefieldjr @shannonrwatts @NRA Fucking gun people are willing to point the finger at everything BUT guns, and that's the one thing that will address this problem. It's the thing that separates the US from all the countries where they don't have mass shootings at anywhere near the same frequency.","Pennsylvania, USA"
Lmaooooooooooooooo https://t.co/UpFOh7osYI,"Pennsylvania, USA"
"If you’re a lover of firearms like I am, you appreciate both well-made custom pistols and good instruction from a patient and knowledgeable teacher. You’ll find both by following my friend and fellow Prescottonian @prac_perf_org !","Prescott, AZ"
“We’re gunna fight...with guns”,"Bakersfield, CA"
Is it really so hard to install metal detectors in schools to prevent guns from entering schools?,"St Louis, MO"
@realslimgrady__ What about Las Vegas? Yes authorities messed up in Florida but it's still far too easy to walk into a gun store and buy an AR 15. With all these school shootings there should have been more laws passed to stop this by now or at least attempt to stop it.,"Louisville, KY"
Where are the parents ‼️They need to take a stand https://t.co/xRjywM4rS8,"Eagan, MN"
"INTERESTING. MORE PROOF PETERSON
WAS A COWARD... https://t.co/kvjC9uXPcg","Moorpark, CA"
"Tweets like this are becoming a weekly occurrence. Children, the future of our country, DESERVE to have their lives put before the ownership violent weapons. Guns won’t run our country one day, but these students that can’t even go to school safely will. PROTECT THEM NOT GUNS. https://t.co/jthMkSEYTJ","Richmond, VA"
"@WalshFreedom No guns, period. Such irrational slippery slope we place our society on when we refuse to see reason and insist that guns are not the problem.","North Olmsted, OH"
D’oh! https://t.co/Wg5Q0smHqm,"Newburgh, NY"
Google McDonald vs city of Chicago. https://t.co/EWHG9T2AoL,"Rolling Meadows, IL"
@BoiDeplorable @SuthernPro @atara_xs @davidhogg111 @CNN Looks like this thread was about how representatives vote on gun laws. Maybe you got triggered when I commented #BlueWaveComing2018. 😂😂😂😂,"Kentucky, USA"
You’re such an ass hole. Loser. https://t.co/raI3n9ufji,"The Woodlands, TX"
"Guns.
Designed to kill.
Their sole purpose.
Bravo to the bravery of that officer in Maryland, but a 17 year old is now dead because instead of handing them the mental health care that they most likely needed, America handed them what we hand out like candy.
Guns.
Designed to kill","Manhattan, NY"
Except for videos involving music and shows on their YouTube channels. (Just a guess) https://t.co/JbCHyfoIUF,"Columbus, OH"
Her shirt says “In guns we trust” 😂😂😂 https://t.co/wX1md0SF8g,"Lake of the Woods, VA"
"@RealJamesWoods A 1968 federal law already bars the sale of handguns to anyone under 21 by licensed dealers, so much for gun control laws!","Makawao, HI"
"@bill_schwener @AbbeyScott16 @cnni I am not anti-gun, but for sensible  laws  and I agree with you","Milwaukie, OR"
Stop Indoctrination https://t.co/4ZQVnXSWDS,"Coconut Creek, FL"
I’m so tired of hearing about fucking school shootings bruh,"Norfolk, VA"
@SenJohnMcCain He didn’t want to be a hypocrite of sham elections Mr. McCain.  It would be like you talking about gun control with checks from the NRA in the background,"Moon, PA"
New toy and for those who aren’t so smart it’s a B.B. gun. If you have something to say about guns left or right leave your opinion down in the comments I’m doing a essay on guns rights and gun control it would be a big help to see the difference in opinions https://t.co/cGWhHwwHS7,"Roseville, CA"
How many school shootings till mfs put metal detectors in each fuckin school,"Cicero, NY"
"Here's something the media should underline today even if it goes against their gun control narrative - the gunman today used a HANDGUN, not an AR-15","Vienna, VA"
"@Beaudancer1 Agreed, the fact that America is the only nation on earth where things like this routinely happen (and the primary culprit is our unnatural obsession with guns) is indeed very sad. But don’t worry, #BlueWave2018 is going to start to change that.","Bartlett, IL"
"Im  going to take my kids out of school... I defintely won't be smart enough to teach them but, I can know that they won't get shot... unless I shoot them. Don't @ me with that ""They're trying to take our guns!"" I'm from the south... we have rifles at the dinner table","Warner Robins, GA"
You can slow it down however. https://t.co/VE5e6jfZVR,"Rhode Island, USA"
FIX THE DAMN GUN LAWS ALREADY !!!!,"Eatontown, NJ"
No #GunContolNow guess what happens. Sorry to u students will have to relive the horror of this day forever bc our generations leaders would rather stockpile guns and take $ from the @NRA than keep u safe. We see once again #NRAKillsKids https://t.co/1AAM5i5Zak,"Fairport, NY"
it’s not the guns it’s the death culture liberals peddle. Look at #commoncore sex education mandated it’s all about death and abortion not life! #TinyLivesAtStake #maga,"Mystic Island, NJ"
"Granted, I haven’t deeply researched this issue, but what I don’t understand is how people are putting guns to other people’s heads and FORCING them to take opioids?","Paradise, NV"
Europe watching all these school shootings in America. https://t.co/Ld3IKz17mG,"New Orleans, LA"
I’m just glad they took his ass out before he killed someone. But I’m baffled by the influx of school shootings that happened right after Parkland...,"Virginia Beach, VA"
"Don’t care how you feel about government spending or abortion rights or gun control or any other party-line issue - when Democrats win government control, they make democracy MORE inclusive, not less. 

On THIS issue, there is a right and a wrong. https://t.co/WNnhFG8BJN","Grapevine, TX"
@Huckleberry6634 @KyleKashuv @senorrinhatch @marcorubio @ChrisMurphyCT If that’s truly the case - I’m afraid this act will be used as an excuse by some to claim we’ve made progress toward true gun control reform and expansion of mental healthcare.,"Houston, TX"
Why the fuck is there still god damn school shootings happening!    Come on ppl !!!!!!,"Mesquite, TX"
Easy and comes up quickly https://t.co/B3AJqOoi0s,"New Orleans, LA"
@realMatMolina armed guard killed shooter but not until two students were injured. How about realizing it is access to guns causing this. #GunReformNow,"Buena Park, CA"
"Look what happens when good cops do their jobs! Take notes, Broward County. https://t.co/D9VOfqr5B7","Phoenix, AZ"
"Hey libtards! If guns didn’t exist, THEN NO ONE WOULD HAVE STOPPED THE MARYLAND SCHOOL SHOOTER! #liberallogic","Washington, DC"
"Also, shouldn't we blame unscrupulous doctors for providing people with the drugs they overdose and/or die on? https://t.co/uRNy0chQOF","Clyde, NC"
"@NancyPelosi Yes, put guns into the schools to kill the shooter, like TODAY! Then get the parents, families, teachers to starting teaching, love, compassion, hard work, the word NO, faith, it's not all about them, other people come first, you can't win all the time,","Missouri City, TX"
"@realDonaldTrump @SpeakerRyan NO MORE EMPTY PLATITUDES! WE ARE SICK OF ALL OF YOU! DEMOCRATS WOULD HAVE HAD THE FIREARMS PROBLEM SOLVED BY NOW! RYAN AND DAINTY DONNIE, GO SCREW EACH OTHER!!","The Villages, FL"
"https://t.co/YRPp0vg2x9

Big surprise...YouTube slowly killing firearm channels
@meatwagon22 
If you ever implement firearms for @CanWeSurviveTV , be cautious.","Castle Rock, CO"
"@Helenhs I would be considering some “mandatory"" PTA meetings, all parents attend... talk with everyone and raising the questions.. ""Do you have guns at your house... what are the uses and access... do you talk with your kid about gun responsibility""... start there... #SchoolShooting","Ohio, USA"
Our society is just more violent. #Guns just heighten this issue.  We are surrounded by violence.  We have a societal issue here. #Enough #MarchForOurLives,"Sonoma, CA"
"@Okie_Bear_ @pattonoswalt The “useless”one trump just repealed keeping mentally ill people from getting guns for instance? Is that a useless feel good law?
Seriously- your opinion of meaningless is meaningless while people are still dying. The nra &amp; gop created this problem, they need to fix it.","Springfield, IL"
"@jaeborou @ClintSmithIII https://t.co/W6WYdLRguj
This is the CNN list where they only count shootings where a victim other than the gunman is shot. The gun nuts having scared media away from the literally correct Newtown Everytown list defining a School Shooting as a shooting at a school.","Georgia, USA"
Another school shooting! This time it is a high school in Maryland! Many people have blood on their hands yet again! I wonder if those that don't want reasonable gun control would feel if it happened to someone they loved.,"North Carolina, USA"
Those that choose guns over kids should have to live with the consequences. I am pissed at the stupidity that allows this to happen!,"North Carolina, USA"
"MSNBC wants to cast aspersions up on the officer who saved countless children in Maryland.MSNBC shut up,it's not time to hash out gun laws.A gun owner can't fart in America,but what you want to Huff it &amp; then Define its aroma,assign blame tomorrow today we count our blessings.","New Bedford, MA"
"@VP @POTUS @OAS_official What are you doing about guns in schools?  One child dead, shooter, two children injured. We must save our children, even those with mental problems. The Education Secretary is a bust, get rid of her.","Austin, TX"
"Unless he was calling from school, during school hours, methinks that’s a violation of his 1st Amendment rights. https://t.co/6TJyFYWY9h","Long Beach, CA"
"@FOX61News The Maryland State Police maintain a registry of ""regulated firearms"" that are allowed to be sold within the state.

Residents may only purchase handguns manufactured after January 1, 1985 that are on the approved handguns list from the Maryland Handgun Roster. (Maryland)","Clermont, FL"
@jimshorts20091 @katie472001 @Emma4Change How about taking away cell phones? 10+ students die each day texting while driving while guns remain the focus of the left.,"San Diego, CA"
"My thoughts and condolences to out to the families of the two students who were injured in today's school shooting in Maryland. I'm glad to hear that the shooter is dead and with this incident, something needs to be done about gun control NOW! @WhiteHouse @realDonaldTrump","Englewood, OH"
"ARE YOU KIDDING ME @MSNBC  “This was a different shooting because it was a handgun” ????Are you really saying that? THEY ARE BOTH SEMI AUTOMATIC guns that shoot as fast as you can pull the trigger! This is a parental, guns not in safes, easy access to ANY KIND OF WEAPON PROBLEM!!","Allentown, PA"
I’m a proponent of arming teachers. I can however see a viable alternative when it presents itself.  This would eliminate the need for the left to try to ban guns and would protect the kids all at once.  https://t.co/73ty9QwfZg,"Pembroke Pines, FL"
This needs to stop! WE NEED GUN CONTROL! https://t.co/JThXU2hxg6,"La Habra, CA"
Exactly. Counter narrative. https://t.co/t99s3qcgaY,"Kentucky, USA"
"@shannonrwatts And you are correct, Shannon.  Common sense gun laws are vital, and they include keeping them out of the hands of kids.  Banning semi-autos.  Requiring insurance on each and every gun.","Wisconsin, USA"
"People are being targeted, hurt, and killed. Yet people still want to make it about themselves and how this somehow has to do with gun laws. https://t.co/cWYmw9XiCL","Austin, TX"
"School shootings are horrible and indefensible.
However, they are a microcosm of the gun violence in America.
One solution: Those with cultural and artistic platforms must deliver a message to villify, condemn, and reject guns and the ridiculous gun culture in America.","Broomfield, CO"
@_jwatkins24 Ayyyyy I see you and your guns were poo,"New Braunfels, TX"
School shootings have become a norm. Let that sink in.,"Savage, MD"
"@FOX61News On April 4, 2013, the Maryland General Assembly approved legislation imposing significant new restrictions on gun ownership. The bills ban the sale of certain semi-automatic firearms that they define as assault weapons, limit magazine capacity to ten rounds,","Clermont, FL"
@SenKamalaHarris @mame6432 We need to find out what’s really behind all of the school shootings!!!!!! I suspect there is an agenda and that these shootings are not random. They are certainly increasing!,"Malibu, CA"
@Zibalady2 @USATODAY So have they released shooters name ? I thinking this is the left doing this school shootings or putting into the kids heads to do this,"Pittsburgh, PA"
"@williamlegate Also 2 people were injured. I don’t want to send my child to school knowing there could be a shoot out any given day. We want Gun control. Not so easy access to teenagers getting guns .,as easy as A B C.#neveragainmovement","Bloomfield, CT"
"You’re trying to turn it into an either or situation, Joe. That’s a false choice. That officer can be there AND there can be common sense gun control. Folks that limit solutions to “either or” scenarios are already arguing with an unsound premise. https://t.co/Ho7TY28YuS","Los Angeles, CA"
@erichmpratt @GunOwners Because of the resource officer only two students were wounded. Unfortunately I think we need to put magnetometers and Sally Ports at the entrances to schools. None of the gun control laws can or will stop school shootings!,"Norfolk, NE"
Ugh I hate when I have great guns on Fortnite and my WiFi fails me,"Kansas, USA"
Conservatives march for ‘pro-life’ then go hunting https://t.co/aGpYWEMxR9,"Iowa City, IA"
"Igh I️m tired of yall usin Chicago as a reason gun control don’t work.Yes,all of their guns are illegal,but their violence comes from gang violence. Nobody heard of school shooting coming From Chicago.Nobody there use their illegal guns to shoot schools.People be usin LEGAL guns","Delray Beach, FL"
"@CapreseMartini What are their rights though? The second amendment is vague, and makes specific mention of ""regulated."" What did they mean to regulate? Conservatives say it wasn't guns, people, or associations. So, what was supposed to be well regulated? Honestly, I don't know.","Queens, NY"
The #USGovernment is an inexperienced mess under @realDonaldTrump https://t.co/tIBJHZUoS7,"Seattle, WA"
How many more shootings until we realize WE NEED GUN CONTROL,"Kissimmee, FL"
"Zachary Cruz - Judge's conditions continued - stay away from all schools, not return to Broward County, home be searched for guns and ammo. https://t.co/oRJTvuChsx","West Palm Beach, FL"
"""...said one Republican in the Legislature who was so fearful of [Marion] Hammer that the member didn’t want any identifying information printed about his or her gender or which chamber he or she served in."" https://t.co/FIgtuaeyVm","Manhattan, NY"
"Blame guns now useless #MarchForOurLives
#NRA #DefendTheSecond https://t.co/ZNBNLrEPZ2","Rialto, CA"
@cassie_nyreee @_chasetofer You think that the guns in the Columbine and the Prakland shootings weren’t purchased legally and used to kill innocent children? That’s a very idiotic thought.,"Riverdale, UT"
there was an armed sheriff at parkland. he didn’t do anything. can’t fight fire with fire. https://t.co/csdPfIn2jZ,"Lincoln, NE"
"As a liberal Democrat, I can clearly state that, no, not “f**k the 2nd Amendment!“It’s better background checks,no loopholes, no assault style weapons,better mental healthcare,etc.,not take everybody’s guns away!That’s as radical&amp;unrealistic on left,as the NRA are on the right! https://t.co/FNVUv7kPeI","Erlton, NJ"
"@DLoesch On April 4, 2013, the Maryland General Assembly approved legislation imposing significant new restrictions on gun ownership. The bills ban the sale of certain semi-automatic firearms that they define as assault weapons, limit magazine capacity to ten rounds...","Clermont, FL"
"@NRATV @stinchfield1776 ummm how about a focus on trying to prevent child deaths from a school shooter from happening in the first place? that's what a call for common sense gun laws is for...  this video is such an insensitive, sterile coverage of what happened. very disappointing.","Los Angeles, CA"
"@jimlairbeard @NRATV @DLoesch @CNN @MSNBC @browardsheriff @RobertwRuncie Back to mommy's basement, guns are in both equasions, maryland, attacker downand no deaths, coward co fla, 17 dead, libbs not educated","Marietta, PA"
@cyberboles @AP If there wasn’t a man with a gun to protect those children there would have been another mass shooting. No one is “celebrating” most people with half a brain realize that good guys with guns protect people from bad guys with guns. Cute hashtag though.,"Waupun, WI"
Wow it’s amazing that someone with a gun was able to stop this before it resulted in several injuries or deaths. But yeah we should definitely ban guns because they all are bad and it must’ve made a mistake by shooting the shooter.. https://t.co/SxsemiKNVY,"Bridgeport, WV"
This is called parenting!!!! KUDOS TO THIS DAD👇👇👇 https://t.co/nWCCmoOxFC,"Riviera Beach, FL"
"I’m currently at 25 bites, and this will be ending at 7 pm tonight! ONLY 6 HOURS LEFT TO RUIN MY LIFE https://t.co/zWw6gW45zV","Toledo, OH"
"#SchoolShootings... I would be considering some “mandatory” PTA meetings, ALL Parents Attend... talk with everyone and raising the questions.. ""Do you have guns at your house... what are the uses and access... do you talk with your kid about gun responsibility""... start there...","Ohio, USA"
Yes! https://t.co/UEDnIDuiBt,"Tennessee, USA"
Hey @LivePDNation @OfficialLivePD help me with this little troll....😂😂😂😂 https://t.co/3fke7YmKYj,"Kentucky, USA"
no person in their right mind wakes up in the morning with the thoughts of murdering someone. it's not JUST a fucking gun problem guns don't pull their own damn triggers!!!!!!,"Wright-Patterson Air Force Base, OH"
@AisyPlayz @FierceDragonfly @jorge_a_abadia @korey_pl @JRehling you think God gave you the right to own guns? lol,"San Marcos, TX"
@whenithitsU @CNN No I don’t agree with that one guns main purpose is for Defense,"Ohio, USA"
"@WalshFreedom A win? One child is dead, another in critical condition. The only win here, is that maybe because MD has strict laws regarding assault weapons, the shooter only had a hand gun. #GunReformNow","New Hampshire, USA"
"Omg Ash ❤ Miss you so much girl, these sweet words mean more to me than you know. ilysm and miss you :) (can't believe you exposed me😉) https://t.co/C4n5fFreAt","College Station, TX"
@williamlegate Armed resource officers and armed teachers are very different things. We need to raise the age of gun ownership and ban high velocity semi-auto weapons. Armed resource officers shouldn’t have to worry about being outgunned.,"White Bear Lake, MN"
"@feistykraut @Sarahchadwickk It would have to be funded in whatever legislation they come up with for it. Now would be the time to push it, if the Dems went along with it, it could be passed very quickly. The longer we put it off and beat the gun control drum, the less momentum to get it done.","River Ridge, LA"
"@nmtap18 @RosaParksResist Rational gun control requires we win. NRA does not compromise.

It might not be necessary to ban all guns (though that would be.better),. Assault weapons need to go period.","Mountain View, CA"
@njh2005 @Jared_Stefango @GOP As I expected. The vast majority of Americans want much better gun control including a ban on semi automatic weapons. We’ve had enough and the school shootings have finally given us the focus to overcome the @nra and the politicians they control. #NeverAgain #MarchForOurLives,"Kaanapali, HI"
Governor Hogan has tried to pass legislation to help prevent school shootings but is being held up and denied by Democrats. But it’s the NRA and it’s the Republican Party,"St Charles, MD"
"There's over 300 million guns in America and there are groups of people that are systematically oppressed. You buying a weapon doesn't change that bro. 
Don't tell me arming everyone is going to change that.
Re-evaluate your last text, that's not sound reasoning fam. https://t.co/oE8KvdYgEz","Illinois, USA"
@whenithitsU @CNN Well the horses out of the barn on the guns that happened 200+ years ago you’re never going to get rid of them. And many people nowadays know how to make guns.,"Ohio, USA"
It’s all about the guns and butter baby,"Texas, USA"
"[Self-driving cars kill 3 people in 3 years]
America: Ban self-driving cars!
[Guns kill 33,000 people/yr in the US]
America: Sorry, I can't hear you over the sound of how much I love my gun","Austin, TX"
@FoxNews @POTUS and 90% of guns come into Canada from the US!,"Oklahoma City, OK"
"@BittyGamerX @professorally @SimonMichaelPa2 @realDonaldTrump I think you're right. Most regular Americans just want our kids safe. If they would stop making this about the gun &amp; focus on keeping our kids safe at school as first priority, then they can have a discussion about guns like the AR15.","Murfreesboro, TN"
@InsaneTigerTig @Jsky2119 @williamlegate @loves10s @ARmastrangelo That most guns will kill you if you get hit. Lethality is overblown,"Lancaster, NY"
"@pnf_phytrade @DLoesch You can buy guns off the street.  Parents who own guns have a responsibility to teach their own kids gun safety and most do.  More gun laws aren't going to stop this, murder is already illegal.  But armed, trained people can stop this. Protect my kid with a gun, not a sign.","Winterset, IA"
"@MikeLevinCA Problem is if you take away guns ,who would have stopped the shooter?","Burlington, IA"
@CONWAYTW1TTER JFC you know nothing about guns do you? Blocking you now since you think the AR 15 is made for deer hunting - you dumb,"Moline, IL"
"every school is about to have a metal detector sooner or later, it’s too many shootings in these schools.","Clinton, MD"
@MarkMcLean716 @NRA Shouldnt you be reading about how cool guns are?,"Amherst, NY"
"@MarkDice @ga_undrdawg Hey Mr. Dicey, if this young man is against guns or wants to protest, its his right! So if you 2 want to bully, let play and learn together? “Repeat this sentence new recruit: This is my WEAPON, this is my GUN, one is for KILLING, the others for FUN”! 😂 I hate bullies 😂 https://t.co/bNxqVMJwdI","Turlock, CA"
Thought and prayers my ass. Fix this shit NOW. https://t.co/qjfugJpC8b,"Crestwood, MO"
@FriesAreExtra @CBSEveningNews despite the fact that I feel we’re doing a really bad job at keeping guns out of the hands of ppl that should not have them.  👮‍♀️ in schools is better than 👩‍🏫 Plus on a more technical level liability would be through the roof to arm teachers.,"Milwaukee, WI"
"@therealB1GB @austinkelly70 @CBSNews Not sure how banning certain guns keeps them only in the right hands if they're banned, but cool!","Georgia, USA"
BOOM! https://t.co/Vk8QCL1o89,"Washington, DC"
Huh? I wonder how many kids would have been killed had there not been an armed individual there? I wonder if any parent at that school who was against guns at school feel differently now!! https://t.co/JmbTWGI0mP,"White Oak West, OH"
"The armed school resource officer took down the shooter.  Maryland is 1 state with some of the most strict gun control laws, 7 days waiting period on hand guns &amp; an assault weapon ban,10 round Magazine capacity limit. The gun laws didn't WORK nor did the law stop the shooter.","Florida, USA"
@seanhannity Yay!!  You got one “good guy with a gun” example.  Perhaps you should dig into the statistics about how many “good guys” have failed to save the lives of tens of thousands of people killed by guns.,"Manhattan, NY"
"Stop comparing guns to cars! They are completely separate issues. I would say the biggest difference is that cars get kids to school, whereas guns take them out.","Texas, USA"
Interesting https://t.co/0qVBdgIZQl,"Sandwich, MA"
"@KirbyWTweets @GwenGraham @AndrewGillum @adamputnam More like Graham grows to adopt Gillum’s platform on guns after polling show his platform resonates more with Florida Democrats, most notably, progressive activists.","Florida, USA"
Should have them at all schools https://t.co/dpd4JwtyA3,"Oak Forest, IL"
People that hold their guns like this make me nervous 😂 only time your hand should be on the trigger is if you’re about to shoot it https://t.co/U9bTbwMU7j,"Huntsville, AL"
"@mikeydoeswork @Icu_shining @_KeefAndres @XOSeattleSlim @AsiaAtItAgain @Cernovich Let’s say you don’t know that one way or the other. I’m just a black dude carrying, and I have a couple pictures with guns. I’m not saying you do this, but people do, make all kinds of judgements based on what you look like. If I have on a ball cap and a gun “im a ‘thug’”","Enterprise, NV"
Sooo is it time to talk about gun laws yet or what,"Rock Springs, WY"
"Not one more ignorant person tell my sons to #walkup. victim blaming, its not the children's fault for these school shootings #NRABloodMoney","Ohio, USA"
"@TomWWoodJr @Kalaax008 @Alyssa_Milano What is wrong is AR15’s guns of war out in the world. What is wrong is the name calling. What is wrong is parents not knowing how sad, lonely or angry their child is!","Toro Canyon, CA"
"@lisamikol1969 @Glock_Coma_ @pnf_phytrade @RaisingZeplyn @DLoesch @NRA They can lecture me when they actually know the current guns laws and can engage in an INTELLIGENT discussion about what they feel can be changed.  I'll listen to that any day.  I don't have to agree, but I will listen.","Winterset, IA"
"School is supposed to be a safe haven for children , not a fucking gta video game 😒 https://t.co/8G888y9Xcr","Goddard, MD"
A dog died on United Arlines plane and in less than 48 hours the Senate passed a bill to prevent further incidents .. Yet it’s “too soon” after my classmates and I have been traumatized and some dead to do anything about it... #Nomoreguns https://t.co/quIMouGM1J,"Lexington Park, MD"
Another school shooting in Maryland High School? It ain’t nothing new. With these gun laws nothing is going to change.,"Reno, NV"
@trumpaide @TimRunsHisMouth You don’t need a AR-15 to be able to achieve multiple hits....hand guns can kill the same,"Jeffersonville, IN"
Then why don’t republican gun owners propose legislation that will work to reduce fatalities caused by guns?  Many of you know exactly what I’m talking about.  Have the conversation among yourselves and come up with solutions! https://t.co/E4Czv7ia88,"St Paul, MN"
"@YouCanCarry @realLyingMedia @gcramer30 @TNTickler @jsutt13 @Morgan2268 @Mamasan2k @flyaway_k @PoliticalEmilia @v Well isn't this a slippery slope? Why not RPGs, claymores etc on my property?
And i won't say i don't understand the urge, either - but it's not feasible and potential costs are too high. I still don't know - who bears liability for guns in schools, for accidental shootings, etc?",United States
.... https://t.co/ymRWzG3lBE,"Texas, USA"
@cassie_nyreee @_chasetofer Yes and wouldn’t be easier to help these people if they didn’t own guns? Wouldn’t it be a less intimidating to talk someone down if they weren’t pointing an AR15 in your face?,"Riverdale, UT"
"What are all these high school shootings? I'm telling Amerika they need to be communicating more accurately; most people, especially younger ones, don't have the advanced skill of expressing themselves with language that I do, or the self control. Kids shouldn't have that happen.","Denver, CO"
@MattHickey1987 @orangebureau @ShelleyDeeeeee @SlayWTruth It is absolutely a leap. The dramatization of everything in America right now is sick. Would you also support DT taking guns out of citizens’ hands? At that point I might be worried. But right now? No.,"Westminster, CO"
"@KarenWasylowski @NRATV @DLoesch I read the news. I know see it wasn’t a AR. No matter. Kids shouldn’t haven’t guns, especially on school grounds. If a parent wants to show a child to responsibly use a small fire arm (under adult supervision) that is their choice by all means. But AR that’s ridiculous.","Nebraska, USA"
Yes. https://t.co/lWMEQ7d2S6,"Bloomington, MN"
Another school shooting.Oh look a school shooting thats normal now. Its not in anyway shape or fucking form of taking away guns.period its about regulating it .if u dont like my post Fucking delete me.hit delete. a childs life i care more about than my right to own a gun ...,"Quincy, MA"
"@arizdare1 @subtel1 @RufusHaybron @GareeDouglass @6549lmartin @GCoinCollector @troyawalters @WvTrump @SaveOurSouUls @rac80 @ckolacia @be4_bama @Burn1Lynn @newroflo @Fusion4Trump @dsshep1959 Again, tell me about the gun laws in Chicago? 
Perfect example
When you outlaw guns only outlaws have guns","Pennsylvania, USA"
Wow can you imagine that?? Want to stop massive school shootings? Here you go...kudos https://t.co/6QO9JThDO1,"Sacramento, CA"
"In light of the Maryland school shooting today and countless other shootings so far in 2018, Carl Nett should drop out of the race immediately. These comments are disgusting and not befitting of any public official or anyone seeking public office. https://t.co/H2JRlBa2N4","Elizabethtown, KY"
The US Supreme Ct did not say citizens have the right to access weapons of war. The NRA was very pro gun control actually proposed some of first legislative gun laws in the country. It was not until gun manufacturers took over NRA that their mission became sales at any cost #NRA https://t.co/OtszJg3rdv,"Raleigh, NC"
"Sorry trump, but no. This will not just be brushed under the carpet like you want it to. We “Americans” will keep fighting for our rights. https://t.co/hIbd2tRpVR","Colesville, MD"
@MikeLevinCA Every ‘decent’ American?? Despicable!! So ur saying that the 320 million legal guns out there who’s owners don’t kill pppl should be restricted bc of the few that use their - many times illegally obtained- guns for evil? It’s common decency to only punish criminals,"North Star, DE"
That simple!! https://t.co/OuTQA4fEtQ,"Anaheim, CA"
"@cassie_nyreee @_chasetofer I agree. But the second amendment was written over 200 years ago, and i don’t think that had the guns of today in mind while writing it.","Riverdale, UT"
@dmax1688 Good guys with guns stop bad guys with guns🤷🏼‍♂️,"Sherwood, AR"
@badbrad1169 @FightNowAmerica And heres a list for u to look over. Goes back to the 1700s dipshit. U rly think there werent school shootings pre 95? 😂 Geezuz ur dense. https://t.co/VPBMjlv4fW,"Los Angeles, CA"
"Yes but if EMPLOYER #NRABloodMoney wasn't so hard pressed to put guns in everyone's hands, so they can make more money, then this would not of happened! https://t.co/nuAzyHF0Im","Arizona, USA"
how many more school shootings do we need to have until our government realizes we need ACTION &amp; CHANGE NOW #PrayForMaryland #marchforourlives,"Toms River, NJ"
"@franklinleonard I knew they would use this one incident as excuse to talk about guns, but when many are killed by a single gun, now isn't the time to talk about guns.  They are so shallow and transparent...","Florida, USA"
Everybody wanna toot guns and go to club buy bottles n section and bring home a girl that’s not even a 6,"Atlanta, GA"
How many more shootings do we have to hear about America ? https://t.co/EFLgCpGnQb,"Athens, GA"
@DearAuntCrabby Guns don’t kill people #AmericansKillPeople,"Honolulu, HI"
@_SuperstarD None of these shootings have been at private school. Private schools do fee evaluation of their students as opposed to public schools,"Penn Wynne, PA"
"@KyleKashuv The problem with guns (of any size and shape) is that they’re powerful, and provide a means to kill multiple people. YES, they’re covered by the #2A, and YES, many gun deaths are from suicide, &amp; YES, there are many other causes of death, but...","Carlsbad, CA"
Yet another school shooting... when will action be taken to end this shit. Like really how many more schools need to be shot up for there to be better gun control and security.,"Rosemead, CA"
Ban idiots not guns #GunControl,"Kentucky, USA"
make guns look like vaginas and people will hate them,"Los Angeles, CA"
@AnyaStewart8 @nicolconcilio @KristenxLeanne He wasn’t old enough to get it legally on his  so I’m assuming maybe he took it from his parents or got it on the streets. You can make guns laws over and over but there will still be illegal guns on the street 🤷🏻‍♀️,"Clovis, CA"
How many more people have to die so you can keep your fucking guns?,"San Pablo, CA"
Time to take another Red Pill !!! 💊 https://t.co/YKYVIiXcGT,"Springfield, MA"
And our farmers didn't need guns to protect our children. https://t.co/7BlcLd4zCp,"Arizona, USA"
@CowboysComments @MIKECLINEcom @JTPhilly @MSNBC But guns that can be easily modified are,"Greensboro, NC"
"@BetancurBraxton one is critically injured. there is a lot of steps to be taken before we put guns in classrooms. if there’s a gunfire from all around in a shooter situation, no one will no idea where the true shooter is. teachers will shoot teachers. teachers will shoot students. there will will","Lincoln, NE"
How I felt after reading All the Presidents Men https://t.co/BBgyD6p3K7,"Harrisonburg, VA"
@seanorna7 Is that what I said? Did I say eradicate all guns? No. I did not. I said lives were lost.,"Argyle, TX"
@NancyPelosi @GOP @SenWarren @SenSchumer @RepAdamSchiff @realDonaldTrump https://t.co/VY3pSocAUB,"Druid Hills, GA"
"Have you actually read the second amendment? It says: “well regulated militia.” Stop drinking the #NRA gun manufacturer’s koolaid - the only “right” they want to preserve is their “right” to sell arms, unrestricted, even if it means children will be slaughtered. #GunSense https://t.co/FPswPfHpq7","Raleigh, NC"
"people that defend guns fail to realize that knives, cars, etc aren't designed to kill people. guns are. https://t.co/BFZci64lrq","Nashua, NH"
@DLoesch To all those who think teens shouldn’t be playing with guns https://t.co/2SHZ48u4pE,"Roseville, MN"
Went to the search page on here and the main story was about guns fired near Rockingham Community College in NC.. refreshed the page and the story was about a MD high school on lock down because of an active shooter. This has to stop.,"Winterville, NC"
