tweet,location
Would love to see the basis of this argument and then outcome. https://t.co/uIvUD1zQkm,"Queens, NY"
Does the NRA override the majority of Americans who oppose guns? #Parkland #notmyusa,"Chicago, IL"
My annual fuck the NRA Tweet https://t.co/cMGEq82YXb,"Spokane, WA"
"@hairykiwi420 @NativeTexan74 @Alyssa_Milano @NRA You're definitely a (not very) closeted racist. 
 Why do black people with guns scare you?","Fallon, NV"
"@AMike4761 ""The right to bear firearms shall not be INFRINGED..""","Colorado, USA"
@MiaFarrow @JuddApatow No. No they couldn’t. This is how you behave when you love money and guns more than your own children.,"Bethesda, MD"
Samuel Jackson SCHOOLS Joy Behar on Gun control https://t.co/LDys74qNjV via @YouTube,"West Virginia, USA"
"In case any y'all wanna see what the other Twitter looks like, have yourselves a scroll https://t.co/NAkyB3n3QB","Bronx, NY"
When your ex trying to do better but you refuse to let her grow. https://t.co/lBJlhE2TEn,"Randolph, MA"
I like to shoot guns....at a range. I will own a gun someday.   BUT my love is all weaponry.  ALL weaponry.,"Manchester, MO"
"@Trumperland @davidhogg111 @rp4freedom1st @marcorubio @FLGovScott I think we should we taking care of our government like civilized human not with guns. In the first place , it’s not like we are wild animals. This is why we are protesting and making people accountable of their actions!","Beverly Hills, CA"
"@Acosta WTH? A lobbying group is suing a state to sell more guns. Even as 17
People were gun down in a school. @NRA is truly shameful.","South Carolina, USA"
@Franklin_Graham @lisawhynaught CALL A RAPPER. GUARANTEE YA THEY HAVE GUNS.,"Pumpkin Center, NC"
@Legendarylow_ 🤣🤣🤣 https://t.co/2flJgiR57F,"Oxon Hill, MD"
@TopRopeTravis Really what did the nra do? Did they shoot and kill they didn’t sell guns so what’s your program? Thay train people how to safely use guns!,"Ringwood, NJ"
Need to @expat urgently https://t.co/cyTCmJmaXK,"Alfred, NY"
"@RyanAFournier The democrat sharif and democrat party needed this for their fight against the NRA. CNN had a townhall show waiting to go for the public outcry against guns. The 17 dead were collateral damage, they let this kid do this","Alsip, IL"
"@realDonaldTrump Not even worth the time anymore.  He’s an absolute fucking joke.  I’ll check back in three years.  Fuck you 30% white trash motherfuckers.  Enjoy your dip, guns and siblings.","Manlius, NY"
"These are the words of a terrorist but he’s white, lives in America &amp; his words are protected by a 241 year old piece of paper so he will be applauded. Absolutely ridiculous! https://t.co/HPMMVqORYS","Norfolk, VA"
School attack in The Netherlands – no one gets hurt because it isn’t the US https://t.co/c8xNr1aFGQ via @dutchreviewing What this blogger failed to mention is the #Dutch constitution unlike the #American &amp; #Mexican constitutions guarantee gun rights.,"Lansdowne, VA"
https://t.co/2grKs7S5It,"Lansdowne, VA"
https://t.co/vXYHmi2ftf,"Oklahoma, USA"
"@BreitbartLondon @KahunaHawaii Yes but they have the strongest gun control in the world. Only the people who BEAT, RAPE, PIMP &amp; KILL have guns. Oh yea also the terrorists. But non of the Law Abiding Citizens do.","Pennsylvania, USA"
@MayorLevine @FLGovScott Mayor Levine - you are a lying douche bag!! Assault rifles do not exist and are already illegal! U want to take guns away from law abiding Floridians? Like they did in Chicago? https://t.co/JGNksqBL8z,"Florida, USA"
PEOPLE OF LOVE=manufacturing didn`t walk away man changed invented  the internet\then solar panel's \that young FLA. bunch have gave America GUN laws in 20 years=some child have MOTHER FOOD FOR YOU\\THINK,"Hasbrouck Heights, NJ"
THIS IS ME 99.9% OF THE TIME!!! 😂😂😂 https://t.co/Wdr1dhfM0U,"Georgia, USA"
"When the NRA politicized the slaughter of 5 year old children at Sandy Hook Elementary School, they became a terrorist organization.
The NRA supports gun manufacturers not gun owners, another “Bait and Switch” republican ploy you’ve fallen for. https://t.co/j1qK6u21Qs","Salem, NH"
@jkimballcook They also claim that women are less likely tp commit school shootings and are therefore being unduly punished. It's a bizarre and weak argument. Isn't a disparate impact claim a constitutional one? https://t.co/6KAPx2NLRi,"Kentucky, USA"
@jkimballcook They also claim that women are less likely to commit school shootings and are therefore being unduly punished. It's a bizarre and weak argument. Isn't a disparate impact claim a constitutional one? https://t.co/2vm3ZSUvTc,"Kentucky, USA"
I am so proud of our nations kids. https://t.co/t074RvZhCW,"Grace, WA"
"This man did exactly what trump did when he told his 2nd Amnd supporters they could go after Hillary. 
@JerryFalwellJr is telling millions of hate driven 
people, they shld get their conceal carry permit 2 
shoot Muslims. Falwell is inciting violence.This shld 
not be on tweeter. https://t.co/lrc0u7tQHq","Hutto, TX"
No lie I gave finger guns to a guy I super like back in October and it still haunts me to this day.,"Georgia, USA"
Oh Boy!!!! https://t.co/mS9RvZUkgJ,"Massapequa, NY"
"@funder If he were really clinging to his bible/God, there would be no CLINGING to his guns, sounds like #IdolWorship to me...","Los Angeles, CA"
You too are the most ignorant and stupid people out there WOW https://t.co/uleA924k6R,"Grand Island, NY"
"@DLoesch He should be a dentist, he probably knows more about teeth than he does firearms","Henderson, NV"
"@JahMekAWail @fred_guttenberg @Agreewithsegree He didn't say he was fighting guns. He's fighting gun violence. That includes everything you mentioned, and more.","Denton, TX"
These r our best. Bright with compassion. But apparently our guns r so very precious. https://t.co/PXvb3Vcowv,"San Francisco, CA"
"@DLoesch When people tell you they wouldn’t go to a school with teachers having a gun, do they fly on airplanes with pilots having guns?","Henderson, NV"
"@vgspitzer @PromiseRW @JoyAnnReid @thedailybeast Irrelevant at best, and unless I'm mistaken their very existence depends on remaining relevant and dictating the terms of our social conversations about guns. So, not at all doubtful.","Milwaukee, WI"
"I have a drivers license that periodically must be renewed, I pay for annual registration tabs, I am required to purchase insurance to cover the vehicle if it is causes injury, CDC research continually make vehicles safer

Why not require the same for guns? https://t.co/sQaSyiFe9p","Duluth, MN"
The American way....But according to #They .... it’s the rapper way 🙄🙄🙄🙄 https://t.co/kQGmQLlwsl,"Brookhaven, GA"
"Virginia Politics

‘I don’t want to be shot and killed at my school’: Students’ voices dominate at gun-control forum. https://t.co/sc7dYJ2x8Z","Annandale, VA"
"If this the logic we using then

Blacks deserve to be slaves since they sold each other

School shootings are justified if the students bullied the shooter

Rape is okay if a woman “started it but didn’t finish

Rihanna was a bloody mess
Chris wasn’t
They didn’t do the same thing https://t.co/vLti3XPKiF","Allendale, MI"
@neontaster Their parents own the guns.  Talk to them.,"Hoover, AL"
